Year,Month,Day,Actual,Predict,Previous,Diff_with_prev,Diff_with_predict
2012,5,15,0.023,0.023,0.027,0.004,0
2012,6,14,0.017,0.018,0.023,0.006,-0.001
2012,7,17,0.017,0.016,0.017,0,0.001
2012,8,15,0.014,0.016,0.017,0.003,-0.002
2012,9,14,0.017,0.017,0.014,-0.003,0
2012,10,16,0.02,0.019,0.017,-0.003,0.001
2012,11,15,0.022,0.021,0.02,-0.002,0.001
2012,12,14,0.018,0.019,0.022,0.004,-0.001
2013,1,16,0.017,0.018,0.018,0.001,-0.001
2013,2,21,0.016,0.016,0.017,0.001,0
2013,3,15,0.02,0.019,0.016,-0.004,0.001
2013,4,16,0.015,0.016,0.02,0.005,-0.001
2013,5,16,0.011,0.013,0.015,0.004,-0.002
2013,6,18,0.014,0.014,0.011,-0.003,0
2013,7,16,0.018,0.017,0.014,-0.004,0.001
2013,8,15,0.02,0.02,0.018,-0.002,0
2013,9,17,0.015,0.016,0.02,0.005,-0.001
2013,10,30,0.012,0.012,0.015,0.003,0
2013,11,20,0.01,0.01,0.012,0.002,0
2013,12,17,0.012,0.013,0.01,-0.002,-0.001
2014,1,16,0.015,0.015,0.012,-0.003,0
2014,2,20,0.016,0.016,0.015,-0.001,0
2014,3,18,0.011,0.012,0.016,0.005,-0.001
2014,4,15,0.015,0.014,0.011,-0.004,0.001
2014,5,15,0.02,0.02,0.015,-0.005,0
2014,6,17,0.021,0.02,0.02,-0.001,0.001
2014,7,22,0.021,0.021,0.021,0,0
2014,8,19,0.02,0.02,0.021,0.001,0
2014,9,17,0.017,0.019,0.02,0.003,-0.002
2014,10,22,0.017,0.016,0.017,0,0.001
2014,11,20,0.017,0.016,0.017,0,0.001
2014,12,17,0.013,0.014,0.017,0.004,-0.001
2015,1,16,0.008,0.007,0.013,0.005,0.001
2015,2,26,-0.001,-0.001,0.008,0.009,0
2015,3,24,0,-0.001,-0.001,-0.001,0.001
2015,4,17,-0.001,0.001,0,0.001,-0.002
2015,5,22,-0.002,-0.001,-0.001,0.001,-0.001
2015,6,18,0,0,-0.002,-0.002,0
2015,7,17,0.001,0.001,0,-0.001,0
2015,8,19,0.002,0.002,0.001,-0.001,0
2015,9,16,0.002,0.002,0.002,0,0
2015,10,15,0,-0.001,0.002,0.002,0.001
2015,11,17,0.002,0.001,0,-0.002,0.001
2015,12,15,0.005,0.004,0.002,-0.003,0.001
2016,1,20,0.007,0.008,0.005,-0.002,-0.001
2016,2,19,0.014,0.013,0.007,-0.007,0.001
2016,3,16,0.01,0.009,0.014,0.004,0.001
2016,4,14,0.009,0.011,0.01,0.001,-0.002
2016,5,17,0.011,0.011,0.009,-0.002,0
2016,6,16,0.01,0.011,0.011,0.001,-0.001
2016,7,15,0.01,0.011,0.01,0,-0.001
2016,8,16,0.008,0.009,0.01,0.002,-0.001
2016,9,16,0.011,0.01,0.008,-0.003,0.001
2016,10,18,0.015,0.015,0.011,-0.004,0
2016,11,17,0.016,0.016,0.015,-0.001,0
2016,12,15,0.017,0.017,0.016,-0.001,0
2017,1,18,0.021,0.021,0.017,-0.004,0
2017,2,15,0.025,0.024,0.021,-0.004,0.001
2017,3,15,0.027,0.027,0.025,-0.002,0
2017,4,14,0.024,0.026,0.027,0.003,-0.002
2017,5,12,0.022,0.023,0.024,0.002,-0.001
2017,6,14,0.019,0.02,0.022,0.003,-0.001
2017,7,14,0.016,0.017,0.019,0.003,-0.001
2017,8,11,0.017,0.018,0.016,-0.001,-0.001
2017,9,14,0.019,0.018,0.017,-0.002,0.001
2017,10,13,0.022,0.023,0.019,-0.003,-0.001
2017,11,15,0.02,0.02,0.022,0.002,0
2017,12,13,0.022,0.022,0.02,-0.002,0
2018,1,12,0.021,0.021,0.022,0.001,0
2018,2,14,0.021,0.019,0.021,0,0.002
2018,3,13,0.022,0.022,0.021,-0.001,0
2018,4,11,0.024,0.024,0.022,-0.002,0
2018,5,10,0.025,0.025,0.024,-0.001,0
2018,6,12,0.028,0.027,0.025,-0.003,0.001
2018,7,12,0.029,0.029,0.028,-0.001,0
2018,8,10,0.029,0.03,0.029,0,-0.001
2018,9,13,0.027,0.028,0.029,0.002,-0.001
2018,10,11,0.023,0.024,0.027,0.004,-0.001
2018,11,14,0.025,0.025,0.023,-0.002,0
2018,12,12,0.022,0.022,0.025,0.003,0
2019,1,11,0.019,0.019,0.022,0.003,0
2019,2,13,0.016,0.015,0.019,0.003,0.001
2019,3,12,0.015,0.016,0.016,0.001,-0.001
2019,4,10,0.019,0.018,0.015,-0.004,0.001
2019,5,10,0.02,0.021,0.019,-0.001,-0.001
2019,6,12,0.018,0.019,0.02,0.002,-0.001
2019,7,11,0.016,0.016,0.018,0.002,0
2019,8,13,0.018,0.017,0.016,-0.002,0.001
2019,9,12,0.017,0.018,0.018,0.001,-0.001
2019,10,10,0.017,0.018,0.017,0,-0.001
2019,11,13,0.018,0.017,0.017,-0.001,0.001
2019,12,11,0.021,0.02,0.018,-0.003,0.001
2020,1,14,0.023,0.023,0.021,-0.002,0
2020,2,13,0.025,0.024,0.023,-0.002,0.001
2020,3,11,0.023,0.022,0.025,0.002,0.001
2020,4,10,0.015,0.016,0.023,0.008,-0.001
2020,5,12,0.003,0.004,0.015,0.012,-0.001
2020,6,10,0.001,0.002,0.003,0.002,-0.001
2020,7,14,0.006,0.006,0.001,-0.005,0
2020,8,12,0.01,0.008,0.006,-0.004,0.002
2020,9,11,0.013,0.012,0.01,-0.003,0.001
2020,10,13,0.014,0.014,0.013,-0.001,0
2020,11,12,0.012,0.013,0.014,0.002,-0.001
2020,12,10,0.012,0.011,0.012,0,0.001
2021,1,13,0.014,0.013,0.012,-0.002,0.001
2021,2,10,0.014,0.015,0.013,-0.001,-0.001
2021,3,10,0.017,0.017,0.014,-0.003,0
2021,4,13,0.026,0.025,0.017,-0.009,0.001
2021,5,12,0.042,0.036,0.026,-0.016,0.006
2021,6,10,0.05,0.047,0.042,-0.008,0.003
2021,7,13,0.054,0.049,0.05,-0.004,0.005
2021,8,11,0.054,0.053,0.054,0,0.001
2021,9,14,0.053,0.053,0.054,0.001,0
2021,10,13,0.054,0.053,0.053,-0.001,0.001
2021,11,10,0.062,0.058,0.054,-0.008,0.004
2021,12,10,0.068,0.068,0.062,-0.006,0
2022,1,12,0.07,0.07,0.068,-0.002,0
2022,2,10,0.075,0.073,0.07,-0.005,0.002
2022,3,10,0.079,0.079,0.075,-0.004,0
2022,4,12,0.085,0.084,0.079,-0.006,0.001
2022,5,11,0.083,0.081,0.085,0.002,0.002
2022,6,10,0.086,0.083,0.083,-0.003,0.003
2022,7,13,0.091,0.088,0.086,-0.005,0.003
2022,8,10,0.085,0.087,0.091,0.006,-0.002
2022,9,13,0.083,0.081,0.085,0.002,0.002
2022,10,13,0.082,0.081,0.082,0,0.001
2022,11,10,0.077,0.08,0.082,0.005,-0.003
2022,12,13,0.071,0.073,0.078,0.007,-0.002
2023,1,12,0.065,0.065,0.071,0.006,0
2023,2,14,0.064,0.062,0.065,0.001,0.002
